Date,Workout Duration,Workout,Exercise,Exercise Base Weight (kg),Set Type,Weight (kg),Reps,RIR,Duration,Distance short (m),Distance long (km)
2026-05-04,3781,ALPHA (Monday),Low Incline Dumbbell Press,,Standard Set,25,6,6,,,
2026-05-04,3781,ALPHA (Monday),Low Incline Dumbbell Press,,Standard Set,25,6,6,,,
2026-05-04,3781,ALPHA (Monday),Low Incline Dumbbell Press,,Standard Set,25,6,5,,,
2026-05-04,3781,ALPHA (Monday),Low Incline Dumbbell Press,,Standard Set,25,8,5,,,
2026-05-04,3781,ALPHA (Monday),Side Plank,,Standard Set,,,,90,,
2026-05-04,3781,ALPHA (Monday),Side Plank,,Standard Set,,,,90,,
2026-05-04,3781,ALPHA (Monday),Side Plank,,Standard Set,,,,90,,
2026-05-04,3781,ALPHA (Monday),Side Plank,,Standard Set,,,,90,,
2026-05-04,3781,ALPHA (Monday),Dumbbell Fly,,Failure Set,16,12,3,,,
2026-05-04,3781,ALPHA (Monday),Dumbbell Fly,,Standard Set,16,11,2,,,
2026-05-04,3781,ALPHA (Monday),Dumbbell Fly,,Standard Set,16,11,2,,,
2026-05-04,3781,ALPHA (Monday),Dumbbell Fly,,Standard Set,16,11,2,,,
2026-05-04,3781,ALPHA (Monday),Seated Dumbbell Lateral Raise,,Failure Set,12,11,1,,,
2026-05-04,3781,ALPHA (Monday),Seated Dumbbell Lateral Raise,,Standard Set,12,8,3,,,
2026-05-04,3781,ALPHA (Monday),Seated Dumbbell Lateral Raise,,Standard Set,12,8,2,,,
2026-05-04,3781,ALPHA (Monday),Seated Dumbbell Lateral Raise,,Standard Set,12,7,3,,,
2026-05-04,3781,ALPHA (Monday),Standing On Ground Single Leg Bodyweight Calf Raise,,Failure Set,,25,3,,,
2026-05-04,3781,ALPHA (Monday),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,15,3,,,
2026-05-04,3781,ALPHA (Monday),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,15,3,,,
2026-05-04,3781,ALPHA (Monday),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,15,2,,,
2026-05-04,3781,ALPHA (Monday),Weighted Russian Twist,,Standard Set,10,11,3,,,
2026-05-04,3781,ALPHA (Monday),Weighted Russian Twist,,Standard Set,10,12,3,,,
2026-05-04,3781,ALPHA (Monday),Weighted Russian Twist,,Standard Set,10,12,2,,,
2026-05-05,2982,ALPHA (Tuesday),Single Arm Elbow-In Dumbbell Row,,Failure Set,15,15,0,,,
2026-05-05,2982,ALPHA (Tuesday),Single Arm Elbow-In Dumbbell Row,,Standard Set,15,14,1,,,
2026-05-05,2982,ALPHA (Tuesday),Single Arm Elbow-In Dumbbell Row,,Standard Set,15,13,1,,,
2026-05-05,2982,ALPHA (Tuesday),Single Arm Elbow-In Dumbbell Row,,Standard Set,15,11,2,,,
2026-05-05,2982,ALPHA (Tuesday),Seated Dumbbell Overhead Press,,Standard Set,16,12,3,,,
2026-05-05,2982,ALPHA (Tuesday),Seated Dumbbell Overhead Press,,Standard Set,16,11,2,,,
2026-05-05,2982,ALPHA (Tuesday),Seated Dumbbell Overhead Press,,Standard Set,16,8,2,,,
2026-05-05,2982,ALPHA (Tuesday),Seated Dumbbell Overhead Press,,Standard Set,12,14,2,,,
2026-05-05,2982,ALPHA (Tuesday),Cable Straight Bar Triceps Pushdown,,Failure Set,30,14,0,,,
2026-05-05,2982,ALPHA (Tuesday),Cable Straight Bar Triceps Pushdown,,Standard Set,30,12,1,,,
2026-05-05,2982,ALPHA (Tuesday),Cable Straight Bar Triceps Pushdown,,Standard Set,30,12,2,,,
2026-05-05,2982,ALPHA (Tuesday),Cable Straight Bar Triceps Pushdown,,Standard Set,30,10,2,,,
2026-05-05,2982,ALPHA (Tuesday),Incline Hammer Curl,,Failure Set,16,12,2,,,
2026-05-05,2982,ALPHA (Tuesday),Incline Hammer Curl,,Standard Set,16,11,1,,,
2026-05-05,2982,ALPHA (Tuesday),Incline Hammer Curl,,Standard Set,16,8,1,,,
2026-05-05,2982,ALPHA (Tuesday),Incline Hammer Curl,,Standard Set,12,15,2,,,
2026-05-05,2982,ALPHA (Tuesday),Standing On Ground Single Leg Bodyweight Calf Raise,,Failure Set,,24,1,,,
2026-05-05,2982,ALPHA (Tuesday),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,18,1,,,
2026-05-05,2982,ALPHA (Tuesday),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,17,2,,,
2026-05-05,2982,ALPHA (Tuesday),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,16,2,,,
2026-05-08,2814,Beta (Push),Low Incline Dumbbell Press,,Warm-Up Set,12,9,,,,
2026-05-08,2814,Beta (Push),Low Incline Dumbbell Press,,Warm-Up Set,20,5,,,,
2026-05-08,2814,Beta (Push),Low Incline Dumbbell Press,,Standard Set,30,5,,,,
2026-05-08,2814,Beta (Push),Low Incline Dumbbell Press,,Standard Set,25,10,,,,
2026-05-08,2814,Beta (Push),Low Incline Dumbbell Press,,Standard Set,25,9,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Overhead Press,,Warm-Up Set,8,9,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Overhead Press,,Warm-Up Set,16,4,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,20,8,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,20,6,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,16,10,,,,
2026-05-08,2814,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,35,12,4,,,
2026-05-08,2814,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,35,10,1,,,
2026-05-08,2814,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,35,10,1,,,
2026-05-08,2814,Beta (Push),Dumbbell Fly,,Warm-Up Set,16,4,,,,
2026-05-08,2814,Beta (Push),Dumbbell Fly,,Standard Set,20,9,,,,
2026-05-08,2814,Beta (Push),Dumbbell Fly,,Standard Set,20,8,,,,
2026-05-08,2814,Beta (Push),Dumbbell Fly,,Standard Set,20,7,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Lateral Raise,,Warm-Up Set,4,9,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Lateral Raise,,Warm-Up Set,8,6,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Lateral Raise,,Standard Set,12,7,1,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Lateral Raise,,Standard Set,12,6,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Lateral Raise,,Standard Set,12,6,0,,,
2026-05-08,2814,Beta (Push),Seated Overhand Grip Dumbbell Rear Delt Fly,,Standard Set,12,8,,,,
2026-05-08,2814,Beta (Push),Seated Overhand Grip Dumbbell Rear Delt Fly,,Standard Set,12,7,0,,,
2026-05-08,2814,Beta (Push),Seated Overhand Grip Dumbbell Rear Delt Fly,,Standard Set,8,10,1,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,12,15,3,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,12,14,,,,
2026-05-08,2814,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,12,10,2,,,
2026-05-08,2814,Beta (Push),Push-Up,,Standard Set,,20,4,,,
2026-05-09,2646,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,12,4,,,
2026-05-09,2646,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,12,2,,,
2026-05-09,2646,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,12,2,,,
2026-05-09,2646,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Warm-Up Set,8,10,,,,
2026-05-09,2646,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Warm-Up Set,12.5,6,,,,
2026-05-09,2646,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Warm-Up Set,17.5,3,,,,
2026-05-09,2646,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,6,2,,,
2026-05-09,2646,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,17.5,10,,,,
2026-05-09,2646,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,17.5,9,2,,,
2026-05-09,2646,Beta (Pull),Dumbbell Pullover,,Standard Set,12.5,12,3,,,
2026-05-09,2646,Beta (Pull),Dumbbell Pullover,,Standard Set,15,7,1,,,
2026-05-09,2646,Beta (Pull),Dumbbell Pullover,,Standard Set,12.5,10,2,,,
2026-05-09,2646,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,16,10,3,,,
2026-05-09,2646,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,16,8,1,,,
2026-05-09,2646,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,16,6,,,,
2026-05-09,2646,Beta (Pull),Incline Hammer Curl,,Warm-Up Set,16,4,,,,
2026-05-09,2646,Beta (Pull),Incline Hammer Curl,,Standard Set,16,8,0,,,
2026-05-09,2646,Beta (Pull),Incline Hammer Curl,,Standard Set,16,5,0,,,
2026-05-09,2646,Beta (Pull),Incline Hammer Curl,,Standard Set,16,3,0,,,
2026-05-09,2646,Beta (Pull),Seated Dumbbell Wrist Curl,,Warm-Up Set,8,9,,,,
2026-05-09,2646,Beta (Pull),Seated Dumbbell Wrist Curl,,Warm-Up Set,12,5,,,,
2026-05-09,2646,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,10,3,,,
2026-05-09,2646,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,9,2,,,
2026-05-09,2646,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,7,,,,
2026-05-09,2646,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,30,15,4,,,
2026-05-09,2646,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,30,15,2,,,
2026-05-09,2646,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,30,15,2,,,
2026-05-10,1010,Beta (Push-Up SESH),Plank Lateral Hip Flexion,,Standard Set,,10,,,,
2026-05-10,1010,Beta (Push-Up SESH),Plank Lateral Hip Flexion,,Standard Set,,10,,,,
2026-05-10,1010,Beta (Push-Up SESH),Weighted Russian Twist,,Standard Set,8,21,,,,
2026-05-10,1010,Beta (Push-Up SESH),Weighted Russian Twist,,Standard Set,8,25,3,,,
2026-05-10,1010,Beta (Push-Up SESH),Weighted Crunch (Holding Weight On Chest),,Standard Set,8,10,2,,,
2026-05-10,1010,Beta (Push-Up SESH),Weighted Crunch (Holding Weight On Chest),,Standard Set,8,8,0,,,
2026-05-10,1010,Beta (Push-Up SESH),Close Grip Push-Up,,Standard Set,,20,0,,,
2026-05-10,1010,Beta (Push-Up SESH),Pause Push-Up,,Standard Set,,6,1,,,
2026-05-10,1010,Beta (Push-Up SESH),Push-Up,,Standard Set,,50,0,,,
2026-05-11,3043,Beta (Push),Low Incline Dumbbell Press,,Standard Set,30,6,3,,,
